"locid"	"location"	"shortame"	"city"	"state"	"country"	"insttype"	"lon"	"lat"	"url"	"DUNS_NUMBER"	"bad"
"4177"	"Neurocrine Biosciences"	"Neurocrine Biosciences"	"San Diego"	"CA"	"United States"	"0"	"-117.237481"	"32.949844"	\N	\N	"0"
"4178"	"Northern Ontario School of Medicine"	"Northern Ontario School of Medicine"	"Sudbury"	"Ontario"	"Canada"	"0"	"-80.9650159"	"46.4638921"	\N	\N	"0"
"4179"	"Randolph Macon"	"Randolph Macon"	"Ashland"	"VA"	"United States"	"0"	"-77.4783518"	"37.7603794"	\N	\N	"0"
"4180"	"CNRS-Université Paris-Sud"	"CNRS-Université Paris-Sud"	"Orsay"	"Île-de-France"	"France"	"0"	"2.17633"	"48.69834400000001"	\N	\N	"0"
"4181"	"Dept. of Medicine & Therapeutics, the Chinese University of Hong Kong"	"Dept. of Medicine & Therapeutics, the Chinese University of Hong Kong"	"Orsay"	"New Territories"	"Hong Kong"	"0"	"114.2109318"	"22.4162632"	\N	\N	"0"
"4182"	"MRC CBU, University of Oxford"	"MRC CBU, University of Oxford"	\N	\N	\N	"0"	\N	\N	\N	\N	"228"
"4183"	"Fondation Ophtalmologique Rothschild"	"Fondation Ophtalmologique Rothschild"	"Paris"	"Île-de-France"	"France"	"0"	"2.377929"	"48.878538"	\N	\N	"0"
"4184"	"CUNY-Queens College"	"CUNY-Queens College"	"Paris"	"NY"	"United States"	"0"	"-73.8161342"	"40.7362689"	\N	\N	"0"
"4185"	"CNRS, Fondation Ophtalmomogique Rothschild"	"CNRS, Fondation Ophtalmomogique Rothschild"	"Paris"	"Île-de-France"	"France"	"0"	"2.377929"	"48.878538"	\N	\N	"0"
"4186"	"MGH/Harvard College"	"MGH/Harvard College"	"Boston"	"MA"	"United States"	"0"	"-71.0540302"	"42.3748826"	\N	\N	"0"
"4187"	"University of Washington at Seattle"	"University of Washington at Seattle"	\N	\N	\N	"0"	\N	\N	\N	\N	"464"
"4188"	"The University of Washington at Seattle"	"The University of Washington at Seattle"	\N	\N	\N	"0"	\N	\N	\N	\N	"464"
"4189"	"University of Innsbruck"	"University of Innsbruck"	"Innsbruck"	"Tirol"	"Austria"	"0"	"11.3838006"	"47.26335419999999"	\N	\N	"0"
"4190"	"University of São Paulo"	"USP"	"São Paulo"	"São Paulo"	"Brazil"	"0"	"-46.726648"	"-23.563774"	""	\N	"0"
"4191"	"The Neurosciences Institute, La Jolla"	"The Neurosciences Institute, La Jolla"	"San Diego"	"CA"	"United States"	"0"	"-117.2756027"	"32.8449613"	\N	\N	"0"
"4192"	"Bernstein Center for Computational Neuroscience and TU Berlin"	"Bernstein Center for Computational Neuroscience and TU Berlin"	"Berlin"	"Berlin"	"Germany"	"0"	"13.3822838"	"52.525987"	\N	\N	"0"
"4193"	"Springer"	"Springer"	"Springer"	"NM"	"United States"	"0"	"-104.5952668"	"36.36114450000001"	\N	\N	"0"
"4194"	"Helmholtz Zentrum München, Neuherberg"	"Helmholtz Zentrum München, Neuherberg"	"Oberschleißheim"	"Bayern"	"Germany"	"0"	"11.5933875"	"48.2211376"	\N	\N	"0"
"4195"	"Florida Atalantic University and CNRS"	"Florida Atalantic University and CNRS"	"Miami"	"FL"	"United States"	"0"	"-80.3739487"	"25.7565756"	\N	\N	"0"
"4196"	"Florida Atlantic University and CNRS"	"Florida Atlantic University and CNRS"	"Boca Raton"	"FL"	"United States"	"0"	"-80.1014751"	"26.374076"	\N	\N	"0"
"4197"	"Beijing University"	"Beijing University"	"Beijing"	"Beijing Shi"	"China"	"0"	"116.3058739"	"39.986913"	\N	\N	"0"
"4198"	"Chinese Academy of Sciences"	"CAS"	"Columbus"	"OH"	"United States"	"0"	"-83.0201443"	"40.0127533"	""	\N	"0"
"4199"	"Royal Postgraduate Medical School"	"Royal Postgraduate Medical School"	\N	\N	\N	"0"	\N	\N	\N	\N	"0"
"4200"	"Abbott Labs"	"Abbott Labs"	\N	\N	\N	"0"	\N	\N	\N	\N	"1073"
"4201"	"Institute of Physiology Charite Berlin"	"Institute of Physiology Charite Berlin"	\N	\N	\N	"0"	\N	\N	\N	\N	"18145"
"4202"	"National Hospital for Neurology and Neurosurgery, UCL"	"National Hospital for Neurology and Neurosurgery, UCL"	"London"	"England"	"United Kingdom"	"0"	"-0.1222335"	"51.522265"	\N	\N	"0"
"4203"	"University of California-San Diego"	"University of California-San Diego"	\N	\N	\N	"0"	\N	\N	\N	\N	"317"
"4204"	"UCSD School of Medicine"	"UCSD School of Medicine"	"San Diego"	"CA"	"United States"	"0"	"-117.2358106"	"32.8752008"	\N	\N	"0"
"4205"	"UIC"	"UIC"	\N	\N	\N	"0"	\N	\N	\N	\N	"386"
"4206"	"Klinikum Augsburg, Germany"	"Klinikum Augsburg, Germany"	"Augsburg"	"Bayern"	"Germany"	"0"	"10.8378141"	"48.384267"	\N	\N	"0"
"4207"	"Technical University Munich, Germany"	"Technical University Munich, Germany"	"München"	"Bayern"	"Germany"	"0"	"11.5678602"	"48.14966"	\N	\N	"0"
"4208"	"SungKyunKwan University"	"SungKyunKwan University"	"Seoul"	""	"South Korea"	"0"	"126.993606"	"37.588227"	\N	\N	"0"
"4209"	"Faculty of Medicine -Technion-IIT"	"Faculty of Medicine -Technion-IIT"	"Toronto"	"Ontario"	"Canada"	"0"	"-79.39277150000001"	"43.660166"	\N	\N	"0"
"4210"	"Sheffield University"	"Sheffield University"	"Sheffield"	"England"	"United Kingdom"	"0"	"-1.4879469"	"53.3809409"	\N	\N	"0"
"4211"	"Cedar Crest College"	"Cedar Crest College"	"Allentown"	"PA"	"United States"	"0"	"-75.5191992"	"40.5862612"	\N	\N	"0"
"4212"	"Faculty of Health Sciences, Linköping University, Sweden"	"Faculty of Health Sciences, Linköping University, Sweden"	"Linköping"	"Östergötlands län"	"Sweden"	"0"	"15.5760072"	"58.3978364"	\N	\N	"0"
"4213"	"Faculty of Health Sciences, University of Linköping"	"Faculty of Health Sciences, University of Linköping"	\N	\N	\N	"0"	\N	\N	\N	\N	"1883"
"4214"	"Centre for Integrative Physiology, University of Edinburgh, UK"	"Centre for Integrative Physiology, University of Edinburgh, UK"	\N	\N	\N	"0"	\N	\N	\N	\N	"515"
